Model,Accuracy,Precision,Recall,F1,ROC_AUC
Random Forest,0.9266666666666666,0.9272727272727272,0.8793103448275862,0.9026548672566371,0.9525627811094451
KNN,0.9,0.8981481481481481,0.8362068965517241,0.8660714285714286,0.9185953898050974
SVM,0.89,0.9108910891089109,0.7931034482758621,0.847926267281106,0.9404516491754124
Decision Tree,0.8766666666666667,0.8558558558558559,0.8189655172413793,0.8370044052863436,0.8660044977511245
Logistic Regression,0.8633333333333333,0.8712871287128713,0.7586206896551724,0.8110599078341014,0.9429347826086957
